"Universidad Nacional de San Juan","Universidad Nacional de San Juan","Mitre 396","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Mitre 396","-31.5354691,-68.5412352,15","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de San Luis","Universidad Nacional de San Luis","Ejercito de los Andes 950","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Ejercito de los Andes 950","-33.2962223,-66.3441194","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de San Martin","Universidad Nacional de San Martin","Ramsay 2250","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Ramsay 2250","-34.550664100769964,-58.441134539431594","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de Santiago del Estero","Universidad Nacional de Santiago del Estero","Avenida Belgrano Sur 1912","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Avenida Belgrano Sur 1912","-27.8014246,-64.2531763","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de Tierra del Fuego, Antartida e Islas del Atlantico Sur","Universidad Nacional de Tierra del Fuego, Antartida e Islas del Atlantico Sur","Fuegia Basket 251","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Fuegia Basket 251&provincia=94"," -54.81888630058655, -68.32552591092275","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de Tres de Febrero","Universidad Nacional de Tres de Febrero","Av. Gral. Mosconi 2736","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Gral. Mosconi 2736&provincia=6","-34.6050318,-58.5665275","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de Tucuman","Universidad Nacional de Tucuman","Batalla de Ayacucho 491","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Batalla de Ayacucho 491","-26.8363912,-65.2133295","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de Villa Maria","Universidad Nacional de Villa Maria","Arturo Jauretche 1555","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Arturo Jauretche 1555&provincia=14","-32.3995102,-63.2651483","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de Villa Mercedes","Universidad Nacional de Villa Mercedes","Las Heras 383","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Las Heras 383","-33.6865689,-65.4698988","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional del Centro de la Provincia de Buenos Aires","Universidad Nacional del Centro de la Provincia de Buenos Aires","Pinto 399","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Pinto 399&provincia=6","-37.3285417102325,-59.1380501689951","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional del Chaco Austral","Universidad Nacional del Chaco Austral","Fernandez 755","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Fernandez 755","-26.8017124,-60.4491146","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional del Comahue","Universidad Nacional del Comahue","Av. Santa Fe 1845","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Santa Fe 1845&provincia=2","-34.59583822943477,-58.393932130303796","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional del Litoral","Universidad Nacional del Litoral","San Jeronimo 3231","http://apis.datos.gob.ar/georef/api/direcciones?direccion=San Jeronimo 3231&provincia=82"," -31.638260020689607, -60.70559340518095","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional del Nordeste","Universidad Nacional del Nordeste","25 de mayo 868","http://apis.datos.gob.ar/georef/api/direcciones?direccion=25 de mayo 868","-27.4607657,-58.9542543","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional del Noroeste de la Provincia de Buenos Aires","Universidad Nacional del Noroeste de la Provincia de Buenos Aires","Roque Saenz Peña 456","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Roque Saenz Peña 456&provincia=6"," -34.861684718919854, -61.52755638690734","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional del Oeste","Universidad Nacional del Oeste","Gral. Manuel Belgrano 369","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Gral. Manuel Belgrano 369&provincia=6","-34.65254628739099,-58.62119862036371","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional del Sur","Universidad Nacional del Sur","Av. Alem 1253","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Alem 1253&provincia=6","-38.67866305629395,-62.29611089500422","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional Jose C. Paz","Universidad Nacional Jose C. Paz","Leandro N. Alem 4731","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Leandro N. Alem 4731&provincia=6","-34.521483660692496,-58.745796901146605","","","","","","","","","","","","","","","","","","","","",""
"Universidad Notarial Argentina","Universidad Notarial Argentina","Av. 51 435","","-34.750524,-58.308108","","","","","","","","","","","","","","","","","","","","",""
"Universidad Pedagogica Nacional","Universidad Pedagogica Nacional","Piedras 1080","","-34.61955811945053,-58.37559426109925","","","","","","","","","","","","","","","","","","","","",""
